title,body,tituloBemDefinido,tituloMedio,tituloCaixaAlta,tituloParCaixaAlta,coerencia,perguntaBemDefinida,vocativo,evDescricaoCurta,evDescricaoLonga,presencaCodigo,evTrechoGrandeCodigo,evPergComApenasCod,perguntaUnica,incluirAgradecimento,evSerExigente,usoNormaCultaLing,evCriarPergDuplicada,evPergFactoides,evPergSobreTrabAcademicos
Por que componente não aparece?,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
String para PDF,PERGUNTA,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jar não funciona com imgens,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Pegar data mais proxima da data atual em uma lista de objetos,PERGUNTA,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
Data com dia anterior chamada REST,PERGUNTA,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Lendo arquivo TXT,PERGUNTA,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Ajuda Regex,PERGUNTA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Como converter inteiro para String,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Class ou Public Class,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
Abrir nova janela GUI,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Porcentagem + votos,PERGUNTA,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Substituir fluxo condicional por polimorfismo,PERGUNTA,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
Como receber valor da variaveís de outras classes?,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
Erro ao inserir dados no List,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Converter XMLGregorianCalendar para Date - WSDL,PERGUNTA,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Java RMI ajuda!?,PERGUNTA,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Para que serve uma expressão Lambda?,PERGUNTA,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
Saber qual o Date mais proximo,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Dúvida, Lógica ArrayList Erro",PERGUNTA,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Erro ao executar meu arquivo .jar,PERGUNTA,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Existe alguma maneira de formatar Aplicações Java com css (Sem ser JavaFX),PERGUNTA,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Qual valor padrão de uma variavel do tipo String?,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
TextArea,PERGUNTA,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Preencher lista comparando atributos,PERGUNTA,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
Como carregar imagem do banco em um projeto JSF,PERGUNTA,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
Problema ao ler código de barras em uma interface grafica,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
Conectar JDBC SQLServer 2012 no windows Server 2012,PERGUNTA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Exercicio simples - ME AJUDEM,PERGUNTA,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0
Erro commando: public static void main(String args[]),PERGUNTA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Conexão  remota no Java - Ver tela de outro computador,PERGUNTA,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Habilitando / Desabilitando JComboBox,PERGUNTA,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
No suitable driver found for jdbc:mysql://localhost:3306,PERGUNTA,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algoritmo em java /tabuadas de 1 a 10,PERGUNTA,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Adicionar elemento em ArrayList em métodos de outra classe,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Vetor de JButton ,PERGUNTA,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Seccionamento de Dados de arquivos .txt,PERGUNTA,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
Como imprimir variavel do tipo date no formato dd/mm/aaaa,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Passar uma Lista de um método para outro,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Erro envio Email SimpleEmail,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Duvida com BigDecimal,PERGUNTA,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Cálculos com valores em Arrays,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Comprar Strings com e sem acentos,PERGUNTA,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
Pegando valores que estão em uma tela e enviar para outra tela,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
"Iniciante em java, Duvida Operador Lógico de Negação ou NOT!",PERGUNTA,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
Como fazer um contador de click no JButton em um Swing,PERGUNTA,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Mudar icone da aplicação,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
JFormattedtextField sem valor ,PERGUNTA,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
JComboBox colocar valor opsoto em JLabel,PERGUNTA,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
Encontrar o maior valor dentro de um vetor,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Como conseguir o valor do JTextField no MySQL?,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
programação Orientada a Objeto,PERGUNTA,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"Similar ao Sytem(""pause"") do C",PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Logins via .txt? Há um jeito confiável de se fazer isso?,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
Dúvida tipos de variáveis - non-static variablee cannot be referenced from a static context,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Conexão com MySql,PERGUNTA,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
getClass de um tipo T generic,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Diferenciar um List <E> ,PERGUNTA,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Quebrar String com o método split,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Operadores em Java,PERGUNTA,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pegar cada letra de uma String e dar um valor,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Programa para gerar números em sequencia,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Problemas com null,PERGUNTA,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Não estou conseguindo inserir valores do tipo double em meu programa,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Ajuda com getters e setters,PERGUNTA,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Porque não funciona o colletions.sort,PERGUNTA,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Como verificar se existe a palavra em uma String,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Reutilização de Objetos,PERGUNTA,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Apenas uma instancia da aplicação,PERGUNTA,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Operadores logicos,PERGUNTA,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Problema com StringTokenizer,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Pergunta simples de incremento,PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Explicação do metodo equals(),PERGUNTA,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,
Imprimir apenas ultimo elemento de um List,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JScrollPane na JPanel,PERGUNTA,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Erro ao ler arquivo,PERGUNTA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
